City,Price,Rooms,Area
Alanya										 / Avsallar,1 300  €,"Property type: 
											Apartments","Area: 
										60 m²"
Alanya										 / Mahmutlar,269 500  €,"Property type: 
											Apartments","Area: 
										125 m²"
Alanya										 / Mahmutlar,185 000  €,"Property type: 
											Apartments","Area: 
										110 m²"
Alanya										 / Oba,915 000  €,"Property type: 
											Villas","Area: 
										200 m²"
Alanya										 / Turkler,330 000  €,"Property type: 
											Villas","Area: 
										220 m²"
Alanya										 / Oba,566 500  €,"Property type: 
											Apartments","Area: 
										165 m²"
Alanya										 / Mahmutlar,181 500  €,"Property type: 
											Apartments","Area: 
										135 m²"
Alanya										 / Oba,121 000  €,"Property type: 
											Apartments","Area: 
										85 m²"
Alanya										 / Alanya / Cleopatra,192 500  €,"Property type: 
											Apartments","Area: 
										85 m²"
Alanya										 / Oba,170 000  €,"Property type: 
											Apartments","Area: 
										51 m²"
Alanya										 / Kestel,747 000  €,"Property type: 
											Villas","Area: 
										230 m²"
Alanya										 / Mahmutlar,121 000  €,"Property type: 
											Apartments","Area: 
										95 m²"
Alanya										 / Alanya / Cleopatra,255 000  €,"Property type: 
											Apartments","Area: 
										62 m²"
Alanya										 / Alanya / Cleopatra,379 000  €,"Property type: 
											Penthouse","Area: 
										117 m²"
Alanya										 / Alanya / Cleopatra,346 500  €,"Property type: 
											Apartments","Area: 
										157 m²"
Alanya										 / Avsallar,170 500  €,"Property type: 
											Apartments","Area: 
										69 m²"
Alanya										 / Avsallar,181 500  €,"Property type: 
											Apartments","Area: 
										126 m²"
Alanya										 / Alanya / Center,1 750 000  €,"Property type: 
											Apartments","Area: 
										210 m²"
Alanya										 / Avsallar,60 500  €,"Property type: 
											Apartments","Area: 
										42 m²"
Alanya										 / Oba,157 500  €,"Property type: 
											Apartments","Area: 
										125 m²"
Alanya										 / Alanya / Cleopatra,192 500  €,"Property type: 
											Apartments","Area: 
										110 m²"
Alanya										 / Alanya / Cleopatra,181 500  €,"Property type: 
											Apartments","Area: 
										110 m²"
Alanya										 / Alanya / Cleopatra,198 000  €,"Property type: 
											Apartments","Area: 
										51 m²"
Alanya										 / Tosmur,195 000  €,"Property type: 
											Apartments","Area: 
										49 m²"
